t,VarX_0.1,meanX_0.1,VarX_0.3,meanX_0.3,VarX_1,meanX_1,VarX_3,meanX_3,VarA1,meanA1
107,6.67560768160885e-05,4.40798040657997e-06,0.000635146308882253,1.40523299781355e-05,0.0083831364131189,7.6177949215126e-05,0.124085768252025,0.000363652594126151,0.00648049455156405,4.45251066988495e-05
108,6.74050227865288e-05,4.25272969984584e-06,0.000641238494032036,1.32896677277476e-05,0.00847706927855729,7.7016461237242e-05,0.125505191164799,0.000375842518307374,0.00654369159203268,4.34262959827005e-05
109,6.80467081308109e-05,4.40959757539041e-06,0.000647063783318561,1.36952640094708e-05,0.00855729939107541,8.28277366410422e-05,0.126862709023631,0.000391128973054656,0.00660909130394645,4.52244343249962e-05
110,6.85918996115036e-05,4.55126750429786e-06,0.00065275239432508,1.42124554900891e-05,0.00863392760074696,8.58279668046255e-05,0.128180967460113,0.000403356143743461,0.00666187166395542,4.67702219539957e-05
111,6.91617455856254e-05,4.52543275306897e-06,0.000658772191349183,1.38702327386631e-05,0.00870667324420991,8.21234733359755e-05,0.129832090309005,0.000406886479931618,0.0067160859907947,4.71787656770713e-05
112,6.97547610827883e-05,4.3307550899732e-06,0.000664759829191928,1.33633427030857e-05,0.00878575537909276,8.03726412072466e-05,0.131364052942083,0.000424754700491595,0.00677202649829226,4.5263438375473e-05
113,7.03938504272518e-05,4.40666046353056e-06,0.00067120012950155,1.4045464652e-05,0.00886490068327675,8.36430000613867e-05,0.132620071848195,0.000441109598072816,0.0068315019306222,4.53226670815628e-05
114,7.09951052111209e-05,4.47075703231204e-06,0.000677565926202223,1.43477508115106e-05,0.00894889191355745,8.43957641417546e-05,0.133943948539893,0.000431841350426507,0.00688540751006455,4.53981010475076e-05
115,7.16420848091771e-05,4.59304412783238e-06,0.00068411600610031,1.51107968154308e-05,0.00904246273119264,8.94300841971852e-05,0.135362342621859,0.000418902581903132,0.00694544945589843,4.60612934173899e-05
116,7.23506757989421e-05,4.89144228123325e-06,0.000690659174312798,1.61228546526902e-05,0.00912671769498205,9.33010851815187e-05,0.136599199121305,0.000426200750207423,0.00701383593313392,4.88794437273127e-05
117,7.31140067555276e-05,4.74164920203543e-06,0.000697866939596664,1.56627201488542e-05,0.00920368094308214,9.51775721746885e-05,0.137677750036425,0.00043170116898751,0.00708543877063722,4.75060802097952e-05
118,7.37405909099265e-05,4.94588267969049e-06,0.000703791288600416,1.66424722367088e-05,0.00929373966643033,0.000100094983791862,0.138767225669878,0.000429796246774371,0.00714608496333182,4.90692513390937e-05
119,7.4393908250943e-05,4.97894038159334e-06,0.00070990522852613,1.70435050427334e-05,0.00938303587076395,0.000107303955428162,0.139982307349202,0.00044191358194341,0.0072093733618645,4.91399513219124e-05
120,7.50342436538928e-05,4.59370937181571e-06,0.000715925152786068,1.60070240345559e-05,0.00946446984669512,0.000105297557128713,0.141243170647073,0.000445085698394181,0.00727067396632044,4.52002752886854e-05
121,7.56987735570462e-05,4.47080229767738e-06,0.000722601527437524,1.54324823299368e-05,0.00955147433802869,9.9838795720136e-05,0.142636140917287,0.000421710889642782,0.00733390591457763,4.45226130834749e-05
122,7.63589206119604e-05,4.15852826904282e-06,0.000729194252840326,1.50326464528073e-05,0.00963340640514869,9.91199668987756e-05,0.144201092860057,0.000418100433010119,0.00739779367757019,4.07782086513873e-05
123,7.70178339032977e-05,4.23597566435879e-06,0.000735321735356587,1.54406591161531e-05,0.00971042101001996,0.000100700168400388,0.145741065922164,0.000389517969710268,0.00746294382592735,4.11722690701746e-05
124,7.77017502388674e-05,4.38194275676079e-06,0.000741516570689055,1.61324646301068e-05,0.00978418906114249,0.000106272211400614,0.147061158330048,0.000388947470714647,0.0075308649663081,4.2222739804622e-05
125,7.83993518843807e-05,4.258026656947e-06,0.000748301817795053,1.62447492266816e-05,0.00986424490307028,0.000107468396939734,0.148378739887936,0.00035570646690703,0.00759741166019392,3.99707073522342e-05
126,7.90348160921907e-05,4.13724350053025e-06,0.00075456763194375,1.61154696905149e-05,0.0099361055082059,0.000104918490159989,0.150035090323179,0.000331004069569263,0.00766004640493134,3.83162260508548e-05
127,7.968643211381e-05,3.85345167034547e-06,0.000760789365635801,1.5286720732259e-05,0.0100302330729312,0.000105061765074068,0.151473523835184,0.000300627804558911,0.00772360495035786,3.58497582941529e-05
128,8.03291856377529e-05,3.80395385045593e-06,0.000767324927905838,1.49186721184313e-05,0.010127997236345,0.000101415734788476,0.152751110987127,0.00027223096638577,0.00778381405619794,3.52197759328948e-05
129,8.1024023822619e-05,4.31064034855099e-06,0.000774164109475224,1.60393561855373e-05,0.0102076594270956,0.000102482950730119,0.154015738860754,0.000269075471012087,0.0078483154875112,4.0422866766221e-05
130,8.16797259610105e-05,4.1895810460915e-06,0.000780588733292187,1.54012068389351e-05,0.0102974368040194,9.61954990757337e-05,0.155280402755895,0.00028471183725351,0.0079127527118553,3.96305773520567e-05
